variable_id	table_version_id	table_name	variable_name	variable_type	column_name	column_type
phv00082638.v1	pht001111.v4	AirNRExamMain	sidno	NUMERIC	sidno	FLOAT
phv00082639.v2	pht001111.v4	AirNRExamMain	age1c	NUMERIC	age1c	FLOAT
phv00082640.v2	pht001111.v4	AirNRExamMain	agecat1c	NUMERIC	agecat1c	FLOAT
phv00082641.v1	pht001111.v4	AirNRExamMain	race1c	NUMERIC	race1c	FLOAT
phv00082642.v1	pht001111.v4	AirNRExamMain	lang1	NUMERIC	lang1	FLOAT
phv00082643.v1	pht001111.v4	AirNRExamMain	gender1	NUMERIC	gender1	FLOAT
phv00082644.v1	pht001111.v4	AirNRExamMain	site1c	NUMERIC	site1c	FLOAT
phv00082645.v1	pht001111.v4	AirNRExamMain	month1	NUMERIC	month1	FLOAT
phv00082646.v1	pht001111.v4	AirNRExamMain	season1	NUMERIC	season1	FLOAT
phv00082647.v1	pht001111.v4	AirNRExamMain	metsyn1c	NUMERIC	metsyn1c	FLOAT
phv00082648.v1	pht001111.v4	AirNRExamMain	frncep1c	NUMERIC	frncep1c	FLOAT
phv00082649.v2	pht001111.v4	AirNRExamMain	frjama1c	NUMERIC	frjama1c	FLOAT
phv00082650.v2	pht001111.v4	AirNRExamMain	frcirc1c	NUMERIC	frcirc1c	FLOAT
phv00082651.v1	pht001111.v4	AirNRExamMain	claud1t	NUMERIC	claud1t	FLOAT
phv00082652.v1	pht001111.v4	AirNRExamMain	dm031c	NUMERIC	dm031c	FLOAT
phv00082653.v1	pht001111.v4	AirNRExamMain	dm031t	NUMERIC	dm031t	FLOAT
phv00082654.v1	pht001111.v4	AirNRExamMain	dm031t2	NUMERIC	dm031t2	FLOAT
phv00082655.v1	pht001111.v4	AirNRExamMain	htn1c	NUMERIC	htn1c	FLOAT
phv00082656.v1	pht001111.v4	AirNRExamMain	htnstg1c	NUMERIC	htnstg1c	FLOAT
phv00082657.v1	pht001111.v4	AirNRExamMain	agatum1c	NUMERIC	agatum1c	FLOAT
phv00082658.v1	pht001111.v4	AirNRExamMain	volum1c	NUMERIC	volum1c	FLOAT
phv00082659.v1	pht001111.v4	AirNRExamMain	volsum1c	NUMERIC	volsum1c	FLOAT
phv00082660.v1	pht001111.v4	AirNRExamMain	agatpm1c	NUMERIC	agatpm1c	FLOAT
phv00082661.v1	pht001111.v4	AirNRExamMain	agatpm1t	NUMERIC	agatpm1t	FLOAT
phv00082662.v1	pht001111.v4	AirNRExamMain	cacgt01c	NUMERIC	cacgt01c	FLOAT
